AMPLASAMENT,NR. LOCURI,LOCALIZARE AMPLASAMENT,ORAS, PRET 
NICOLAE GOLESCU,32,INTRE STR. G. ENESCU SI STR. EPISCOPIEI,București, 5.00 lei 
NICOLAE IORGA,35,INTRE CALEA VICTORIEI SI STR. HENRI COANDA,București, 5.00 lei 
NICOLAE TITULESCU,35,INTRE INTR. COJESTI SI STR. DR. IACOB FELIX,București, 2.50 lei 
OCTAVIAN GOGA 1,163,INTRE CALEA DUDESTI SI STR. NERVA TRAIAN,București, 2.50 lei 
OCTAVIAN GOGA 3,18,ARTERA DREAPTA PASAJ MARASESTI,București, 5.00 lei 
OCTAVIAN GOGA 4,138,DEASUPRA PASAJ MARASESTI,București, 5.00 lei 
OCTAVIAN GOGA 5,50,DEASUPRA PASAJ MARASESTI - DREAPTA PARCAJ GOGA 4,București, 5.00 lei 
OPERA,80,PTA. VICTOR BABES,București, 5.00 lei 
ORIZONT,12,"INTR. JEAN GEORGESCU, LA INTERSECTIA CU STR. DEM I. DOBRESCU",București, 10.00 lei 
OTETELESANU,28,INTRE STR. MATEI MILLO SI STR. C-TIN MILLE,București, 5.00 lei 
PANIPAT,11,BD. BRATIANU,București, 10.00 lei 
PANTELIMON 1S,266,SOS. MORARILOR - SOS. VERGULUI,București, 2.50 lei 
PECO ANGHEL SALIGNY,61,STR. ANGHEL SALIGNY,București, 5.00 lei 
PECO BARIERE,72,"SP. INDEPENDENTEI, INTRE STR. A. SALIGNY SI ELIE RADU",București, 5.00 lei 
PECO M.I.,25,INTERSECTIE A. SALIGNY - LIPSCANI,București, 5.00 lei 
PECO POMPIERI,13,INTRE STR. A. SALIGNY SI ELIE RADU,București, 5.00 lei 
PESCARUS,99,ALEEA DE ACCES IN PARCUL HERASTRAU - LA RESTAURANTUL PESCARUS,București, 5.00 lei 
PIATA ALBA IULIA 1,80,INTRE BD. UNIRII SI BD. DECEBAL (ALVEOLE),București, 2.50 lei 
PIATA AMZEI 1,77,INTRE CALEA VICTORIEI SI STR. MENDELEEV,București, 5.00 lei 
PIATA AMZEI 2,65,INTRE STR. BISERICA AMZEI SI PIATA AMZEI,București, 5.00 lei 
PIATA AMZEI 3,47,INTRE STR. CHRISTIAN TELL SI PIATA AMZEI,București, 5.00 lei 
PIATA CHARLES DE GAULLE,37,ALVEOLE PARTEA DREAPTA P-TA CH. DE GAULLE (BD. PREZAN),București, 5.00 lei 
PIATA CONSTITUTIEI,494,PIATA CONSTITUTIEI - PASTILA (FARA ALVEOLE),București, 5.00 lei 
PIATA GEMENI,25,PIATA GEMENI,București, 5.00 lei 
PIATA ITALIANA,19,ITALIANA X STR. V. LASCAR X STR. C-TIN NACU,București, 5.00 lei 
PIATA LIBERTATII 1,90,INTRE STR. C-TIN ISTRATI SI BD. MARASESTI (PARCUL CAROL),București, 5.00 lei 
PIATA LIBERTATII 2,18,INTRE BD. MARASESTI SI STR. 11 IUNIE,București, 5.00 lei 
PIATA REVOLUTIEI,136,INTRE STR. ION CAMPINEANU SI STR. DEM I. DOBRESCU,București, 5.00 lei 
PIATA VICTORIEI,93,PTA. VICTORIEI (DEASUPRA PASAJULUI RUTIER),București, 5.00 lei 
PIATA VICTORIEI SPRING TIME,10,PTA. VICTORIEI,București, 5.00 lei 
PIATA WALTER MARACINEANU,127,,București, 5.00 lei 
PITAR MOS,52,INTRE C.A.ROSETTI SI J.MICHELET,București, 5.00 lei 
POIANA NARCISELOR 1,27,INTRE STR. I.CAMPINEANU SI STR. I.BREZOIANU,București, 5.00 lei 
POIANA NARCISELOR 2,40,INTRE STR. STIRBEI VODA SI STR. VASILE SION,București, 5.00 lei 
POLIZU,23,INTRE STR. DR. VARNALI SI STR. IACOB FELIX,București, 5.00 lei 
POLONA 1,79,INTRE ION BOGDAN SI BROSTEANU,București, 5.00 lei 
POLONA 2,49,INTRE ION BOGDAN SI STEFAN CEL MARE,București, 5.00 lei 
POMPILIU ELIADE,41,INTRE PTA. M. KOGALNICEANU SI STR. SF. CONSTANTIN,București, 5.00 lei 
POPA TATU,160,INTRE STR. STIRBEI VODA SI STR. BERZEI,București, 5.00 lei 
POSTA VITAN 1,15,INTRE STR. O.GOGA SI CALEA VITAN,București, 2.50 lei 
PIATA ALBA IULIA,208,ROND PTA. ALBA IULIA,București, 2.50 lei 
PIATA LAHOVARI,23,PIATA LAHOVARI,București, 5.00 lei 
PIATA PRESEI LIBERE,527,ALEILE INCONJURATOARE CASA PRESEI,București, 2.50 lei 
RADU BELLER,108,STR. AV. RADU BELLER,București, 2.50 lei 
RAUREANU,24,INTRE CALEA VICTORIEI SI SPLAIUL INDEPENDENTEI,București, 5.00 lei 
REGINA ELISABETA,16,BD. REGINA ELISABETA,București, 5.00 lei 
RIGAS,25,INTRE STR. BREZOIANU SI PARC CISMIGIU,București, 5.00 lei 
ROND PESCARUS,25,ALVEOLA PARC HERASTRAU (BD. AVIATORILOR - BD. BEIJING),București, 5.00 lei 
ROSETTI SEMAFOR,26,INTRE PRAPORGESCU SI J.L.CALDERON,București, 10.00 lei 
SALA PALATULUI,166,ALEILE DIN JURUL SALII PALATULUI,București, 5.00 lei 
SCHITU MAGUREANU,140,BD. SCHITU MAGUREANU,București, 5.00 lei 
SCHITU MAGUREANU 2,24,BD. SCHITU MAGUREANU,București, 5.00 lei 
SCOALEI,4,,București, 10.00 lei 
SEVASTOPOL,110,,București, 5.00 lei 
SFANTA VINERI (STRADAL),117,INTRE BD. MIRCEA VODA SI STR. MAMULARI,București, 5.00 lei 
SFANTA VINERI 2,160,ADICENT BD. MIRCEA VODA,București, 5.00 lei 
SFANTUL CONSTANTIN,45,INTRE STR. POMPILIU ELIADE SI CALEA PLEVNEI,București, 5.00 lei 
SFINTII APOSTOLI,82,,București, 5.00 lei 
SFINTII VOIEVOZI,13,LA INTERSECTIA STR. SF. VOIEVOZI SI MIHAIL MOXA,București, 5.00 lei 
SILFIDELOR,29,,București, 5.00 lei 
SLANIC,42,,București, 10.00 lei 
SOS. NORDULUI,384,INTRE BD. BEIJING SI STR. GRIGORE GAFENCU,București, 5.00 lei 
SOS. NORDULUI – AMBASADA CHINEI,39,INTRE BD. BEIJING SI ALEEA PRIPORULUI,București, 5.00 lei 
SPERANTEI,39,INTRE STR. AR. CALINESCU SI CAROL I,București, 5.00 lei 
SPLAI EXIM BANK ALVEOLA,24,SP. INDEPENDENTEI,București, 5.00 lei 
SPLAI TURN,44,"PE SP. INDEPENDENTEI, LA INTERSECTIA CU BD. NATIUNILE UNITE",București, 5.00 lei 
SPLAIUL INDEPENDENTEI 3,14,INTRE STR. GRADINA CU CAI SI STR. B.P.HASDEU,București, 5.00 lei 
SPLAIUL INDEPENDENTEI 4,23,INTRE BD. SCHITU MAGUREANU SI GRADINA CU CAI,București, 5.00 lei 
SPLAIUL INDEPENDENTEI 5,23,INTRE STR. ILFOV SI STR. MIHAI VODA,București, 5.00 lei 
SPLAIUL INDEPENDENTEI 6,20,INTRE CALEA VICTORIEI SI STR. ILFOV,București, 5.00 lei 
SPLAIUL UNIRII,167,INTRE STR. D. CANTEMIR SI BD. MARASESTI,București, 5.00 lei 
STEFAN CEL MARE 1,322,INTRE BUCUR OBOR SI VASILE LASCAR,București, 2.50 lei 
STEFAN CEL MARE 2,260,INTRE VASILE LASCAR SI CALEA FLOREASCA,București, 2.50 lei 
TAKE IONESCU,38,INTRE BD. GHE. MAGHERU SI STR. MENDELEEV,București, 5.00 lei 
TERASA SIDNEY,14,INTRE CALEA VICTORIEI SI LASCAR CATARGIU,București, 5.00 lei 
TERASA SIDNEY 2,56,INTRE CALEA VICTORIEI SI STR. BUZESTI,București, 5.00 lei 
THOMAS MASARYK,36,INTRE STR. VASILE LASCAR SI STR. J.L. CALDERON,București, 5.00 lei 
TONITZA,41,"ZONA DELIMITATA DE STR. NICOLAE TONITZA, STR. FILITTI SI SP. INDEPENDENTEI",București, 10.00 lei 
TRAIAN,14,INTRE STR. PLANTELOR SI STR. ST. MIHAILEANU,București, 5.00 lei 
TRAIAN VUIA,32,INTRE BD. N. BALCESCU SI STR. VASILE CONTA,București, 10.00 lei 
TUDOR ARGHEZI,125,,București, 10.00 lei 
UDRISTE – STRADA,20,"PE STR. MATEI BASARAB, INTRE BD. CORNELIU COPOSU SI BD. MIRCEA VODA",București, 5.00 lei 
UNIREA PANTA,30,"BD. CORNELIU COPOSU, INTRE BD. I.C.BRATIANU SI STR. SF. VINERI",București, 10.00 lei 
UNIREA PASAJ,14,BD. I.C.BRATIANU,București, 10.00 lei 
UNIRII,211,BD. UNIRII (PTA. CONSTITUTIEI - PTA. UNIRII),București, 5.00 lei 
BD. UNIRII – ALVEOLA 1D,171,INTRE PIATA UNIRII SI MIRCEA VODA,București, 10.00 lei 
BD. UNIRII – ALVEOLA 1S,247,INTRE PTA UNIRII SI MIRCEA VODA,București, 10.00 lei 
BD. UNIRII – ALVEOLA 2D,34,INTRE MIRCEA VODA SI NERVA TRAIAN,București, 5.00 lei 
BD. UNIRII – ALVEOLA 2S,124,INTRE MIRCEA VODA SI BD. UNIRII TRONSON S3,București, 5.00 lei 
CONSTANTIN ESARCU,12,INTRE STR. EPISCOPIEI SI STR. NICOLAE GOLESCU,București, 5.00 lei 
